dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight,postcode,state,lat_deg,long_deg
ds33,100,3,S0502,1,2232,NSW,-34.0244,151.0386
ds33,100,3,S0516,1,2263,NSW,-33.243,151.5043
ds33,100,3,S0517,1,2150,NSW,-33.8178,151.0035
ds33,100,3,S0524,1,2324,NSW,-32.6478,151.7616
ds33,100,3,S0532,1,2045,NSW,-33.883,151.1439
ds33,100,3,S0533,1,2316,NSW,-32.7858,152.0896
ds33,100,3,S0536,1,2281,NSW,-33.0823,151.6455
ds33,100,3,S0553,1,2518,NSW,-34.3761,150.9108
ds33,100,3,S0558,1,2322,NSW,-32.7931,151.6769
ds33,100,3,S0562,1,2155,NSW,-33.6999,150.9411
ds33,100,3,S0567,1,2285,NSW,-32.9547,151.6645
ds33,100,3,S0569,1,2110,NSW,-33.8343,151.1459
ds33,100,3,S0570,1,2285,NSW,-32.9547,151.6645
ds33,100,3,S0571,1,2100,NSW,-33.7666,151.2498
ds33,100,3,S0579,1,2291,NSW,-32.9382,151.7591
ds33,100,3,S0582,1,2289,NSW,-32.9428,151.6958
ds33,100,3,S0585,1,2097,NSW,-33.732,151.3012
ds33,100,3,S0588,1,2043,NSW,-33.9025,151.1858
ds33,100,3,W0001,1,2233,NSW,-34.0535,151.0356
ds33,100,3,W0008,1,2287,NSW,-32.8937,151.6901
ds33,100,3,W0018,1,2750,NSW,-33.77350000000001,150.6947
ds33,100,3,W0024,1,2137,NSW,-33.8569,151.0912
ds33,100,3,W0027,1,2008,NSW,-33.8867,151.1975
ds33,100,3,W0031,1,2784,NSW,-33.7292,150.4177
ds33,100,3,W0037,1,2282,NSW,-32.9725,151.6527
ds33,100,3,W0042,1,2082,NSW,-33.6035,151.1202
ds33,100,3,W0047,1,2765,NSW,-33.5922,150.9198
ds33,100,3,W0070,1,2323,NSW,-32.8305,151.5312
ds33,100,3,W0073,1,2420,NSW,-32.4043,151.7519
ds33,100,3,W0075,1,2304,NSW,-32.8979,151.7361
ds33,100,3,W0085,1,2026,NSW,-33.8879,151.2808
ds33,100,3,W0097,1,2783,NSW,-33.7206,150.4297
ds33,100,3,W0118,1,2072,NSW,-33.7553,151.1512
ds33,100,3,W0120,1,2088,NSW,-33.839,151.2396
ds33,100,3,W0155,1,2076,NSW,-33.7053,151.1228
ds33,100,3,W0179,1,2117,NSW,-33.7883,151.0526
ds33,100,3,W0181,1,2216,NSW,-33.9535,151.1481
ds33,100,3,W0183,1,2120,NSW,-33.7118,151.0714
ds33,100,3,W0195,1,2777,NSW,-33.6985,150.6346
ds33,100,3,W0198,1,2232,NSW,-34.0244,151.0386
ds33,100,3,W0199,1,2530,NSW,-34.543,150.793
ds33,100,3,W0207,1,2173,NSW,-33.9544,150.9445
ds33,100,3,W0237,1,2026,NSW,-33.8879,151.2808
ds33,100,3,W0250,1,2080,NSW,-33.642,151.1287
ds33,100,3,W0253,1,2213,NSW,-33.961,150.9882
ds33,100,3,W0263,1,2294,NSW,-32.915,151.7644
ds33,100,3,W0266,1,2530,NSW,-34.543,150.793
ds33,100,3,W0280,1,2111,NSW,-33.8317,151.1168
ds33,100,3,W0291,1,2207,NSW,-33.9353,151.1257
ds33,100,3,W0294,1,2112,NSW,-33.796,151.0974
