edp_site_id,postcode,state,lat,long,cluster,lat_deg,long_deg,date_of_first_data,date_of_last_data,number_of_days
W0011,2283,NSW,-0.5766969274317223,2.646121604216635,2,-33.0423,151.6116,2020-11-20,2024-09-30,1410
W0073,2420,NSW,-0.5655617268039985,2.648570301157183,2,-32.4043,151.7519,2020-11-21,2024-09-30,1409
S0374,2230,NSW,-0.594052481513554,2.638225734680613,2,-34.0367,151.1592,2020-12-05,2024-09-30,1396
S0567,2285,NSW,-0.5751680190069753,2.64704488339094,2,-32.9547,151.6645,2020-12-11,2024-09-30,1390
W0018,2750,NSW,-0.5894587749223049,2.630118680305099,2,-33.77350000000001,150.6947,2020-12-21,2024-09-30,1380
W0031,2784,NSW,-0.5886855940636714,2.625284118277075,2,-33.7292,150.4177,2020-12-21,2024-09-30,1380
W0047,2765,NSW,-0.5862944929884392,2.634047416451338,2,-33.5922,150.9198,2020-12-21,2024-09-30,1379
S0444,2295,NSW,-0.5735902413631725,2.649638442659403,2,-32.8643,151.8131,2021-01-20,2024-09-30,1350
S0345,2321,NSW,-0.5723074243629566,2.644442597476216,2,-32.7908,151.5154,2021-01-21,2024-09-30,1349
S0337,2227,NSW,-0.5943212622183611,2.636983060253193,2,-34.0521,151.088,2021-01-21,2024-09-30,1349
W0232,2166,NSW,-0.5914327423063105,2.634539599300401,2,-33.8866,150.948,2021-02-01,2024-09-30,1337
W0207,2173,NSW,-0.5926160755391626,2.634478512776581,2,-33.9544,150.9445,2021-02-02,2024-09-30,1336
W0005,2233,NSW,-0.594345696827889,2.636068507725148,2,-34.0535,151.0356,2021-02-08,2024-09-30,1330
S0168,2299,NSW,-0.5742621931251902,2.647502159654962,2,-32.9028,151.6907,2021-03-19,2024-09-30,1291
W0336,2065,NSW,-0.5903698367918458,2.638817401297038,2,-33.8257,151.1931,2021-03-12,2024-09-30,1298
W0231,2155,NSW,-0.5881742125928371,2.634419171582013,2,-33.6999,150.9411,2021-03-11,2024-09-30,1299
W0183,2120,NSW,-0.5883819067738243,2.636693335597362,2,-33.7118,151.0714,2021-03-05,2024-09-30,1305
S0167,2233,NSW,-0.594345696827889,2.636068507725148,2,-34.0535,151.0356,2021-03-03,2024-09-30,1308
W0253,2213,NSW,-0.5927312672697942,2.635241221659702,2,-33.961,150.9882,2021-03-01,2024-09-30,1309
W0155,2076,NSW,-0.5882684603724447,2.637590434832887,2,-33.7053,151.1228,2021-04-01,2024-09-30,1278
W0037,2282,NSW,-0.5754786876138303,2.646838934539205,2,-32.9725,151.6527,2021-02-27,2024-09-30,1311
W0199,2530,NSW,-0.6028890835164012,2.63183433895981,2,-34.543,150.793,2021-02-23,2024-09-30,1315
W0250,2080,NSW,-0.5871636669559324,2.637693409258755,2,-33.642,151.1287,2021-02-22,2024-09-30,1316
W0291,2207,NSW,-0.5922827176520317,2.637641049381195,2,-33.9353,151.1257,2021-02-18,2024-09-30,1320
W0024,2137,NSW,-0.5909143795184683,2.637038910789256,2,-33.8569,151.0912,2021-02-16,2024-09-30,1323
W0324,2170,NSW,-0.5925776782956187,2.633693114613183,2,-33.9522,150.8995,2021-02-09,2024-09-30,1329
W0081,2101,NSW,-0.587907177217282,2.640046113090443,2,-33.6846,151.2635,2021-02-09,2024-09-30,1330
W0142,2519,NSW,-0.600196040480574,2.633593630845819,2,-34.3887,150.8938,2021-02-24,2024-09-30,1314
S0081,2233,NSW,-0.594345696827889,2.636068507725148,2,-34.0535,151.0356,2018-01-01,2024-09-30,2465
